"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043414","BP","GO:0043414","macromolecule methylation","7/256","121/18805",0.0578512396694215,4.24958032024793,4.21279072004542,0.00135065578417396,0.0280416920114272,0.0250336120645685,"HSD17B10/ETF1/FBL/SNRPD3/TRMT112/SNRPD1/SNRPE",7
"GO:2000765","BP","GO:2000765","regulation of cytoplasmic translation","4/256","36/18805",0.111111111111111,8.16189236111111,5.05293051458097,0.00140309002579422,0.0289079387757145,0.0258069350666369,"DHX9/HNRNPU/SYNCRIP/YBX1",4
"GO:0010639","BP","GO:0010639","negative regulation of organelle organization","13/256","362/18805",0.0359116022099447,2.63795968577348,3.69680517908777,0.00144770374346964,0.0296011545729133,0.0264257884274482,"HNRNPU/PARP1/TPR/HNRNPC/PFN1/RBM14/SEC22B/TFRC/MTPN/BUB3/USP10/RAD21/ZNF207",13
"GO:2001034","BP","GO:2001034","positive regulation of double-strand break repair via nonhomologous end joining","3/256","17/18805",0.176470588235294,12.9630055147059,5.79708063372569,0.00147217385776038,0.0298751672337989,0.026670407284634,"PRKDC/FH/TOP2B",3
"GO:0072329","BP","GO:0072329","monocarboxylic acid catabolic process","7/256","124/18805",0.0564516129032258,4.14676789314516,4.13009789728163,0.00155593054842494,0.0311189191519292,0.027780739821285,"HADHA/HSD17B10/DECR1/ACADM/ECI1/ACOX1/ECHDC1",7
"GO:0050685","BP","GO:0050685","positive regulation of mRNA processing","4/256","37/18805",0.108108108108108,7.94130067567568,4.96498081914692,0.00155652244739179,0.0311189191519292,0.027780739821285,"NCL/THRAP3/NUP98/TRA2A",4
"GO:0000966","BP","GO:0000966","RNA 5'-end processing","4/256","38/18805",0.105263157894737,7.73231907894737,4.88027074065943,0.00172125109154378,0.0341592404123285,0.0304949206543632,"HSD17B10/SNRPD3/SNRPD1/SNRPE",4
"GO:0140014","BP","GO:0140014","mitotic nuclear division","11/256","282/18805",0.0390070921985816,2.86534519060284,3.70777144839566,0.00174213390640612,0.0343213095867893,0.0306396043931127,"FLNA/NUMA1/HNRNPU/TPR/PPP1CC/BANF1/BUB3/GOLGA2/RAD21/STAG2/ZNF207",11
"GO:0046824","BP","GO:0046824","positive regulation of nucleocytoplasmic transport","5/256","64/18805",0.078125,5.73883056640625,4.46117891632384,0.00178224605192344,0.0348571166242129,0.0311179344992583,"FLNA/DHX9/TRIM28/TPR/MAVS",5
"GO:0016032","BP","GO:0016032","viral process","14/256","421/18805",0.0332541567695962,2.44275163301663,3.51720328492113,0.00197523775415544,0.0383537172551478,0.0342394488395442,"DHX9/TRIM28/DDX5/RPSA/PCBP2/HMGB1/DDB1/TFRC/BANF1/TOP2B/MAVS/SMARCA4/EIF3F/CTBP2",14
