"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","29/256","404/18805",0.0717821782178218,5.2729057085396,10.1994823889236,2.76738180535562e-13,3.55674452031181e-11,3.17520649246066e-11,"DHX9/KHSRP/HNRNPK/HNRNPU/NCL/DDX17/DDX5/SYNCRIP/HNRNPC/YBX1/APEX1/ELAVL1/EIF4A3/THRAP3/U2AF2/PUF60/HNRNPA0/RBM4/RBM39/CAPRIN1/SRSF10/SRSF6/NUP98/RBM10/SON/MAGOHB/SLTM/TRA2A/CNOT3",29
"GO:0051168","GO:0051168","nuclear export","20/256","174/18805",0.114942528735632,8.44333692528736,11.5880156339096,3.00840700925277e-13,3.69076841726055e-11,3.29485341826774e-11,"HNRNPA2B1/DHX9/HSPA9/DDX39B/TPR/XPO1/EIF4A3/ALYREF/SARNP/NUP93/DDX19B/NUP98/NUP214/RBM10/NUP133/MAGOHB/NUP88/RAE1/RANBP2/NUP160",20
"GO:1903241","GO:1903241","U2-type prespliceosome assembly","10/256","25/18805",0.4,29.3828125,16.6825521788942,5.00998574372844e-13,5.87910935753176e-11,5.24844730773199e-11,"SF3B2/SF3B3/SF3A1/SNRPD3/SNRPA1/SF3A3/SNRPD1/SF3B4/SF3B5/SNRPE",10
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","16/256","111/18805",0.144144144144144,10.5884009009009,11.9025881784661,2.2428044641265e-12,2.52222052028226e-10,2.25165763964279e-10,"HNRNPK/HNRNPU/NCL/DDX17/DDX5/THRAP3/U2AF2/PUF60/RBM4/RBM39/SRSF10/SRSF6/NUP98/RBM10/SON/TRA2A",16
"GO:0006417","GO:0006417","regulation of translation","28/256","451/18805",0.0620842572062084,4.56052522172949,8.99128630886635,2.35792954869839e-11,2.54562074077478e-09,2.27254767872447e-09,"PRKDC/DHX9/HNRNPU/NCL/TPR/LRPPRC/SCRIB/SYNCRIP/SHMT2/YBX1/RPS3/ELAVL1/DDX1/EIF4A3/TRAP1/EIF4H/RBM4/CAPRIN1/MTPN/ETF1/SARNP/MSI2/EIF5B/BZW2/EEFSEC/EIF3K/CNOT3/PIWIL4",28
"GO:0140588","GO:0140588","chromatin looping","17/256","168/18805",0.101190476190476,7.43315197172619,9.83955148548288,1.46889896654951e-10,1.52483011950659e-08,1.36125900179427e-08,"DHX9/SNRNP200/DDX17/RUVBL2/DDX39B/DDX5/PCBP2/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/MCM2/DDX19B/MCM5/RAD21",17
"GO:0002181","GO:0002181","cytoplasmic translation","17/256","169/18805",0.100591715976331,7.3891688239645,9.80158292530814,1.61353656595821e-10,1.61293895982267e-08,1.43991625710657e-08,"DHX9/HNRNPU/RPSA/SYNCRIP/YBX1/RPS3/EEF1D/RPL12/EIF4H/RBM4/RPS10/ETF1/RPL18/EIF3F/RPL27A/RPL29/EIF3K",17
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","13/256","103/18805",0.12621359223301,9.27127578883495,9.88853468163462,1.46739957208442e-09,1.41446837323423e-07,1.26273594755686e-07,"DHX9/HNRNPK/HNRNPU/SYNCRIP/HNRNPC/YBX1/ELAVL1/THRAP3/U2AF2/HNRNPA0/SRSF10/SRSF6/RBM10",13
"GO:0006999","GO:0006999","nuclear pore organization","6/256","15/18805",0.4,29.3828125,12.9188102971073,2.71109408847398e-08,2.52318722234182e-06,2.25252064192993e-06,"TPR/NUP93/NUP98/NUP133/NUP35/NUP205",6
"GO:0000723","GO:0000723","telomere maintenance","14/256","162/18805",0.0864197530864197,6.34813850308642,8.03132326127354,4.84705750079528e-08,4.36073606488216e-06,3.89295249800716e-06,"PRKDC/HNRNPA2B1/HNRNPU/XRCC6/PARP1/RUVBL2/HNRNPC/APEX1/RUVBL1/USP7/YLPM1/FEN1/RPA3/GAR1",14
