"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1905369","GO:1905369","endopeptidase complex","8/261","98/19880",0.0816326530612245,6.21784345922277,5.97238879070433,4.50340700454216e-05,0.000516066099979966,0.000383077864682249,"PSMC1/PSMA7/PSMD4/PSME3/PSMB3/PMPCB/SEC11A/PIGT",8
"GO:0032993","GO:0032993","protein-DNA complex","12/261","240/19880",0.05,3.80842911877395,5.0486752179813,8.34767359356578e-05,0.000931424632545234,0.00069140011204326,"PRKDC/XRCC6/PARP1/RUVBL2/RUVBL1/MCM7/MCM2/TOP1/MCM5/RPRD1B/RPA3/POLR2H",12
"GO:0035145","GO:0035145","exon-exon junction complex","4/261","21/19880",0.19047619047619,14.5083014048531,7.14349571720155,0.00014572727286189,0.00158431701778054,0.00117604465818367,"EIF4A3/THRAP3/ALYREF/MAGOHB",4
"GO:0031080","GO:0031080","nuclear pore outer ring","3/261","10/19880",0.3,22.8505747126437,7.97155446315482,0.000250741988780164,0.00265786508106974,0.00197294354329655,"NUP98/NUP133/NUP160",3
"GO:0031965","GO:0031965","nuclear membrane","13/261","312/19880",0.0416666666666667,3.17369093231162,4.46355569127934,0.000261717818930243,0.00270654524942495,0.00200907902079955,"TPR/LRPPRC/TMPO/XPO1/TMEM43/NUP93/NUP98/NUP133/NUP35/NUP205/RANBP2/TMEM109/SDCBP",13
"GO:0010494","GO:0010494","cytoplasmic stress granule","7/261","96/19880",0.0729166666666667,5.55395913154534,5.15877730523056,0.000273624702467771,0.00276230652015083,0.00205047082801663,"HNRNPK/YBX1/ELAVL1/DDX1/RBM4/CAPRIN1/DDX19B",7
"GO:0005682","GO:0005682","U5 snRNP","4/261","25/19880",0.16,12.1869731800766,6.45545328158752,0.00029555575773008,0.00291431723901288,0.00216330897334869,"SNRNP200/SNRPD3/SNRPD1/SNRPE",4
"GO:0042555","GO:0042555","MCM complex","3/261","11/19880",0.272727272727273,20.773249738767,7.5659850048164,0.000341428505656277,0.0032170152532947,0.00238800288166612,"MCM7/MCM2/MCM5",3
"GO:0071162","GO:0071162","CMG complex","3/261","11/19880",0.272727272727273,20.773249738767,7.5659850048164,0.000341428505656277,0.0032170152532947,0.00238800288166612,"MCM7/MCM2/MCM5",3
"GO:0009295","GO:0009295","nucleoid","5/261","49/19880",0.102040816326531,7.77230432402846,5.47445997955428,0.000446626768003586,0.00382302424399874,0.00283784570247175,"HSPA9/HADHA/HSD17B10/LRPPRC/SHMT2",5
"GO:0042645","GO:0042645","mitochondrial nucleoid","5/261","49/19880",0.102040816326531,7.77230432402846,5.47445997955428,0.000446626768003586,0.00382302424399874,0.00283784570247175,"HSPA9/HADHA/HSD17B10/LRPPRC/SHMT2",5
"GO:0000346","GO:0000346","transcription export complex","3/261","12/19880",0.25,19.0421455938697,7.21075628879424,0.000450828330660228,0.00382302424399874,0.00283784570247175,"DDX39B/ALYREF/SARNP",3
"GO:0071006","GO:0071006","U2-type catalytic step 1 spliceosome","3/261","12/19880",0.25,19.0421455938697,7.21075628879424,0.000450828330660228,0.00382302424399874,0.00283784570247175,"SNRNP200/EIF4A3/MAGOHB",3
"GO:0071012","GO:0071012","catalytic step 1 spliceosome","3/261","12/19880",0.25,19.0421455938697,7.21075628879424,0.000450828330660228,0.00382302424399874,0.00283784570247175,"SNRNP200/EIF4A3/MAGOHB",3
"GO:0005732","GO:0005732","sno(s)RNA-containing ribonucleoprotein complex","4/261","28/19880",0.142857142857143,10.8812260536398,6.03485450551571,0.000463817087520055,0.00385604794330399,0.00286235932236319,"NOP56/FBL/NOP58/GAR1",4
"GO:0000812","GO:0000812","Swr1 complex","3/261","13/19880",0.230769230769231,17.5773651635721,6.89604554843984,0.000580403359953214,0.00455724119666968,0.00338285778998072,"RUVBL2/RUVBL1/ANP32E",3
"GO:0031261","GO:0031261","DNA replication preinitiation complex","3/261","13/19880",0.230769230769231,17.5773651635721,6.89604554843984,0.000580403359953214,0.00455724119666968,0.00338285778998072,"MCM7/MCM2/MCM5",3
"GO:0042405","GO:0042405","nuclear inclusion body","3/261","13/19880",0.230769230769231,17.5773651635721,6.89604554843984,0.000580403359953214,0.00455724119666968,0.00338285778998072,"TPR/NUP98/RANBP2",3
"GO:0072686","GO:0072686","mitotic spindle","9/261","182/19880",0.0494505494505494,3.76657824933687,4.32460725533073,0.000694571449728445,0.00535451444881565,0.0039746768128001,"TUBB/NUMA1/HNRNPU/TPR/RPS3/RCC2/GOLGA2/RAE1/STAG2",9
"GO:0008250","GO:0008250","oligosaccharyltransferase complex","3/261","14/19880",0.214285714285714,16.3218390804598,6.61452688496769,0.000731548830707731,0.00544169656526452,0.00403939243548682,"RPN2/RPN1/DDOST",3
"GO:1990023","GO:1990023","mitotic spindle midzone","3/261","14/19880",0.214285714285714,16.3218390804598,6.61452688496769,0.000731548830707731,0.00544169656526452,0.00403939243548682,"NUMA1/HNRNPU/RCC2",3
"GO:0005685","GO:0005685","U1 snRNP","4/261","33/19880",0.121212121212121,9.23255543945199,5.45912810960127,0.000880480507427411,0.00643661612326245,0.00477792507660246,"SNRPD3/LUC7L3/SNRPD1/SNRPE",4
"GO:0005840","GO:0005840","ribosome","10/261","244/19880",0.040983606557377,3.12166321210979,3.84612977977238,0.00149872256835221,0.0107591140295427,0.00798653201299219,"RPSA/APEX1/RPS3/RPL12/RPS10/ETF1/RPL18/USP10/RPL27A/RPL29",10
"GO:0000502","GO:0000502","proteasome complex","5/261","64/19880",0.078125,5.95067049808429,4.57535818826345,0.00152251613625604,0.0107591140295427,0.00798653201299219,"PSMC1/PSMA7/PSMD4/PSME3/PSMB3",5
"GO:0071004","GO:0071004","U2-type prespliceosome","3/261","18/19880",0.166666666666667,12.6947637292465,5.72526117136147,0.00157750701811006,0.0107881125109462,0.00800805769804598,"U2AF2/SF3A1/LUC7L3",3
"GO:0071010","GO:0071010","prespliceosome","3/261","18/19880",0.166666666666667,12.6947637292465,5.72526117136147,0.00157750701811006,0.0107881125109462,0.00800805769804598,"U2AF2/SF3A1/LUC7L3",3
"GO:0034719","GO:0034719","SMN-Sm protein complex","3/261","19/19880",0.157894736842105,12.0266182698125,5.54622739572152,0.00185522463144754,0.0124859562497422,0.00926837368091588,"SNRPD3/SNRPD1/SNRPE",3
"GO:0005793","GO:0005793","endoplasmic reticulum-Golgi intermediate compartment","7/261","136/19880",0.0514705882352941,3.92044173991436,3.94166323723987,0.00215320296946953,0.0141001711921169,0.0104666116843172,"SERPINH1/PDIA6/HMGB1/COPB1/SEC22B/GOLGA2/TMED9",7
"GO:0120293","GO:0120293","dynein axonemal particle","3/261","20/19880",0.15,11.4252873563218,5.38012662399976,0.00216158284784811,0.0141001711921169,0.0104666116843172,"RUVBL2/RUVBL1/DNAAF5",3
"GO:1990391","GO:1990391","DNA repair complex","3/261","23/19880",0.130434782608696,9.93503248375812,4.94518248960547,0.00326200744408399,0.0209559266104789,0.0155556654829523,"PRKDC/XRCC6/TP53BP1",3
"GO:0022624","GO:0022624","proteasome accessory complex","3/261","25/19880",0.12,9.14022988505747,4.69732722859814,0.00415534936851717,0.0259220685260431,0.0192420518601959,"PSMC1/PSMD4/PSME3",3
"GO:0005925","GO:0005925","focal adhesion","13/261","424/19880",0.0306603773584906,2.33535747849346,3.2057730928753,0.00415731287681824,0.0259220685260431,0.0192420518601959,"FLNA/HNRNPK/HSPA9/CTNNA1/PCBP2/PPP1CC/RPS3/PFN1/ZYX/RPL12/RPS10/RPL18/SDCBP",13
"GO:0140534","GO:0140534","endoplasmic reticulum protein-containing complex","6/261","118/19880",0.0508474576271186,3.87297876485486,3.61024819140843,0.0046854409398207,0.0287916950504924,0.0213721867430418,"RPN2/PDIA6/RPN1/DDOST/SEC11A/PIGT",6
"GO:0030055","GO:0030055","cell-substrate junction","13/261","434/19880",0.0299539170506912,2.28154739834384,3.11346138911462,0.00504070797233695,0.0305322882895838,0.0226642358455451,"FLNA/HNRNPK/HSPA9/CTNNA1/PCBP2/PPP1CC/RPS3/PFN1/ZYX/RPL12/RPS10/RPL18/SDCBP",13
"GO:0097346","GO:0097346","INO80-type complex","3/261","27/19880",0.111111111111111,8.46317581949766,4.47580926231005,0.00518358188751858,0.0309554749339138,0.0229783689305864,"RUVBL2/RUVBL1/ANP32E",3
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","6/261","124/19880",0.0483870967741935,3.68557656655543,3.46001482432016,0.00595192412269573,0.0350502198336526,0.0260179139281582,"XRCC6/IDH1/ILF2/GSTP1/HMGB1/GLB1",6
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","4/261","57/19880",0.0701754385964912,5.3451636754722,3.78911655486462,0.006650393269839,0.0386269417316676,0.0286729284453044,"RPL12/RPL18/RPL27A/RPL29",4
"GO:0005791","GO:0005791","rough endoplasmic reticulum","4/261","58/19880",0.0689655172413793,5.25300568106751,3.74123777426136,0.00707077937043742,0.0405136547711549,0.0300734428415475,"UBA1/CKAP4/RPN1/RPL18",4
"GO:0008278","GO:0008278","cohesin complex","2/261","10/19880",0.2,15.2337164750958,5.19276255139754,0.00720804349583944,0.0407494725631456,0.0302484913018385,"RAD21/STAG2",2
"GO:0071339","GO:0071339","MLL1 complex","3/261","31/19880",0.0967741935483871,7.37115313311086,4.09457340821909,0.00766506719756557,0.0425412419866387,0.0315785286842229,"RUVBL2/RUVBL1/PELP1",3
"GO:0090734","GO:0090734","site of DNA damage","6/261","131/19880",0.0458015267175573,3.48863736070896,3.2961259359473,0.00772565007776222,0.0425412419866387,0.0315785286842229,"PARP1/DDB1/TP53BP1/CHD4/FH/RPA3",6
"GO:0070603","GO:0070603","SWI/SNF superfamily-type complex","5/261","95/19880",0.0526315789473684,4.00887275660415,3.3906009889645,0.00834135650697838,0.0449608232790962,0.0333745932483857,"RUVBL2/RUVBL1/CHD4/SMARCA4/ANP32E",5
"GO:0044665","GO:0044665","MLL1/2 complex","3/261","32/19880",0.09375,7.14080459770115,4.00978400098593,0.00837713452605802,0.0449608232790962,0.0333745932483857,"RUVBL2/RUVBL1/PELP1",3
